Autorius,Pavadinimas,Metai,Kodas
,Skaitymas skiemenimis. Auksaplaukė,2018,
,Pelenė,,
,Snieguolė ir kitos pasakaitės,,
Daisy Meadows,Gintarinė – oranžinė fėja 2,2006,
Holly Webb,Elė ilgisi namų,2013,9786090110201
Valdimaras Sasnauskas,Lapės ir vilko kelionė,2005,
Justinas Marcinkevičius,Voro vestuvės,2023,
Kotryna Zylė,Didžioji būtybių knyga,2007,9786098120226
Sven Nordqvist,Petsono tortas,2023,
,Kaip Zitutė mišką tvarkė,,
Ramunė Savickytė,Adelės dienoraštis. Vasara,2022,
Astrid Lindgren,Pepė ilgakojinė,,
Neringa Taparauskaitė,Vilberforsas – didysis seklys,2011,
Disney,Donaldas ir kiti. Įžūlus apgavikas ir bjaurus monetų tirpiklis,,
Jill Murphy,Netikusi ragana ir piktas burtas,2009,9789955383086
Birutė Tiknevičiūtė,Tai ne pasaka – taip būna,2015,9789955038641
Lois Duncan,Šunų viešbutis,2009,
Tomas Dirgėla,Domas ir Tomas. Dingusios mergaitės byla. 7 knyga,2022,
,Nojus pas močiutę,,
Jacqueline Wilson,Mes – dvynės,2004,9955084251
Jeff Kinney,Nevykėlio dienoraštis 18. Netikėtos permainos,2024,
Jeff Kinney,Nevykėlio dienoraštis 6. Žiemos spąstai,2012,9789955225416
Knister,Ragana Lilė ponių šalyje,2021,
Knister,Ragana Lilė apverčia mokyklą aukštyn kojomis 1,2004,9789955084822
Rachel Renee Russell,Prietrankos dienoraštis,2023,
Holly Webb,"Šuniukas, kuris negalėjo užmigti",2019,
Pamela Butchart,Pabaisa ir dingę užkandžiai,2024,9786094732683
Holly Webb,"Kačiukas, kurio niekas nenorėjo",2014,
,Minecraft (ruda),2015,
,Minecraft,,
Tomas Dirgėla,A komanda ir šuo už milijoną,2024,9876090156216
Jeff Kinney,Nevykėlio dienoraštis 7. Trečias nereikalingas,2017,
Michael Bond,Pedingtonas užsienyje,2023,9786090152921
,Paskutinis elfas,,
Rimantas Černiauskas,Slieko pasaka,2023,9786090157893
Knister,Ragana Lilė skrenda į Mėnulį 15,2008,
Jennifer Gray,Katinas naguotis laužo taisykles,2015,
Jeff Kinney,Nevykėlio dienoraštis 2. Sąlygas diktuoja Rodrikas,2009,
Jeff Kinney,Nevykėlio dienoraštis 2. Sąlygas diktuoja Rodrikas,2009,
,Neša tulpę pelikanas,,
,"Matematikos vadovėlis 5 kl (naujas) 1 dalis(29), 2 dalis (12)",,
,Susipažinkite origamis,,
G.Denisova,Nuostabus augalų pasaulis,1981,
Jeff Kinney,Nevykėlio dienoraštis 4 Atostogos,,
Kimberly Brubaker Bradley,"Karas, kurį galiausiai laimėjau",2018,
,The call the  wild,,
,Origamis,,
Lois Lowry,Siuntėjas,2024,
,Žiedų valdovas,,
,Žiedų valdovas,,
Antony Mccarten,Superherojaus mirtis,2021,
John Boyne,Baisus dalykas nutikęs Barnabiui Broketui,2021,
,Matematikos vadovėlis (Atrask) 1 dalis(7),,
,Matematikos vadovėlis (Atrask) 2 dalis(22),,
,Lietuvių kalbos vadovėlis 1 dalis (22),,
,Lietuvių kalbos vadovėlis 2 dalis (30),,
Clare  Vanderpool,Laivavedys Erlis,2017,
,Vidurnakčio biblioteka,,
Yuval Noah Harari,Sapiens,2016,
,Lietuvių k. vadovėlis 6 kl. Nr. 24,,
,Lututė 165,,
Jeff Kinney,Nevykėlio dienoraštis 1,2008,
Antanas Škėma,Balta drobulė,2015,
,Nelaimingas Petsonas,,
"Evelina Daciūtė, Aušra Kiudulaitė",Laimė yra lapė,2016,9784098142310
Michael Bond,Meškiukas vardu Pedingtonas,2022,9786090153253
Pat Moon,Neskaityk šios knygos,2005,9955088745
Tomas Dirgėla,Domas ir Tomas. Vasaros atostogų byla. 6 knyga,2021,
Tomas Dirgėla,Domas ir Tomas. Dingusios knygos mįslė. 5 knyga,2022,
Laura Ingalls Wilder,Namelis girioje,2011,9786094032455
Holly Webb,Elė ilgisi namų,2013,9786090110201
,Apie gyvūnus. Mažųjų skaitiniai,,9789955529729
Hugh Lofting,Daktaras Dolitlis,2007,
,Nevykėlio dienoraštis. Nr. 12,,
Jeff Kinney,Nevykėlio dienoraštis 16. Lemtingas metimas,2022,
Tomas Dirgėla,Žmonija prieš Pabaigos Drakonę,2024,9786094667602
Tomas Dirgėla,Domas ir Tomas. Gedimino bokšto byla. 11 knyga,2023,
Tomas Dirgėla,Domas ir Tomas. Dingusios sniego byla. 10 knyga,2022,
William Golding,Musių valdovas,2010,
,,,
,,,
Kristina Gudonytė,Ida iš šešėlių sodo,2021,
Rėjus Bredberis,Pienių vynas,1969,
Annie Auerbach,Tom and Jerry. Nesėkminga iškyla,2016,
,,,
,,,
Živilė Miežytė,Vilniaus Vilnius,2018,9786098161274
Holly Webb,Pajūrio šuniukas,2017,9786090129029
Martin Widmark,Pabaisų agentė Nelė Rap. Pabaisų akademija,2016,9786094413766
Holly Webb,Dingęs kačiukas,2019,
Helen Peters,Pelėdžiukas vardu Žvaigždutis,2023,9786090157671
,,,
Rachel Renee Russell,Prietrankos dienoraštis,2023,
Astrid Lindgren,Brita Mari išlieja širdį,2015,
Astrida Lindgren,Emilis iš Lionebergos,1997,9986431409
Daisy Meadows,Rubinuolė – raudonoji fėja 1,2006,9789955243373
E.B.White,Šarlotės voratinklis,2006,
Sergej Kozlov,Ežiukas rūke,2011,9789955683971
Jeff Kinney,Nevykėlio dienoraštis 4. Karštos vasaros dienos,2010,
Rebeka Una,Barbora ir pelkių senelis,2016,
Erich Kastner,Dvynukės,2013,9789955389668
Jacqueline Wilson,Mergaitės grįžta vėlai,2009,9789955382935
,Plastikiniai chuliganai,,
,Merė Popins (nauja raudona stora knyga),,
Jeff Kinney,Nevykėlio dienoraštis 1,2008,9789955222729
,,,
,Didysis senelio Frenko norų sąrašas,,
Jeff Kinney,Nevykėlio dienoraštis 10,2016,9789955228264
Erich Kastner,Skrajojanti klasė,1999,
,,,
,Matematikos VBE pratybos Nr.4,2025,9789955632559
,,,
,Matematika 10 žingsnių,,
"Virginija Barbaravičiūtė, Audronė Kuliuešienė, Rita Janavičienė",Chemija VBE antroji dalis IV gimnazijos klasė,2025,9785430074944
,Literatūros vadovėlis 11 kl. 1 ir 2 dalis,,
,Matematikos uždavinynas 10 kl. TEV,2001,
,Matematikos Tau+ uždavinynas 9 kl. ,2019,
,Pagrindinės mokyklos 5-10 kl. matematikos kurso teminio kartojimo uždavinia,2017,
,Matematikos pasitikrinamieji testai 9-10 kl.  Korepetitorius ,2019,
,Matematika Tau +. Uždavinynas 10 klasei. TEV,2020,
,,,
,Du tėčiai. Turtingas ir vargšas. Paaugliams,,
,Filosofinės etikos chrestomatija,,
Evaldas Bakonis,Senovės civilizacijų istorija,1992,
,Charitonas,,
G.Švabas,Gražiausios Antikos sakmės 1 dalis,,
G.Švabas,Gražiausios Antikos sakmės 2 dalis,,
G.Švabas,Gražiausios Antikos sakmės 3 dalis,,
N.Kunas,Senovės Graikijos legendos ir mitai,,
Disney,Vasaros linksmybės,2007,
,Vilkas ir ožiukai,2014,
,Paukščių abėcėlė,1998,
Antanas Škėma,Balta drobulė,2022,
Antanas Škėma,Balta drobulė,2022,
,"Matematika tau + 11 kl. 1,2 dalys",,
Paulo Coelho ,Alchemikas,2015,
,Matematikos VBE pratybos Nr.5,2025,9789955632559
Vilija Dailidienė,Šekspyro Hamletas,2000,
Albert Camus,Svetimas,2021,
Albert Camus,Svetimas,2006,
,Matematikos VBE pratybos Nr.2,2025,9789955632559
,Svetimas,,
"Virginija Barbaravičiūtė, Audronė Kuliuešienė, Rita Janavičienė",Chemija VBE antroji dalis IV gimnazijos klasė,2025,9785430074944
Martin Widmark,Pabaisų agentė Nelė Rap. Vilkolakiai,2020,
"Nomeda Kasperavičienė, Vilma Dailidėnienė",Lietuvių kalbos testai 4 kl.,2020,
Jonas Ambrukaitis,Lietuvių kalbos užduotys 3-4 klasėms 5 dalis,2023,
Jrr Tolkien,Žiedų valdovas. Žiedo brolija (1 dalis),2024,
,Gyvo mokymo ir auklėjimo ištakos,,
,Vaiko ugdymas dvasios mokslo požiūriu,,
,Dailės mokymas Valdorfo mokyklosje,,
,Formų piešimas,,
,Žodžiai mūsų dievams ir deivėms,,
Francas Fiumanas,Lapinas Reinekis,1984,
Gotfrydas Augustas Biurgeris,Baronas Miunhauzenas,1987,
Knister,Ragana Lilė ieško pražuvusio lobio 8,2009,
Jeff Kinney,Nevykėlio dienoraštis 9. Ilga kelionė,2015,
Pamela Butchart,Mūsų mokyklą užgrobė!,2023,9786094732829
Jeff Kinney,Nevykėlio dienoraštis 15,,
Tomas Dirgėla,Domas ir Tomas. Virėjos Irenos byla. 4 knyga,2021,
,The man in the iron mask,,
,Matematikos VBE pratybos Nr.3,2025,9789955632559
,Senovės Graikijos legendos ir mitai,,
Manuel Rosa,Kolumbas,2014,
,Matematika 3 kl. I dalis TAIP,,
Kovačas,Geologija ir astronomija,,
,Šekspyras,,
,Šekspyro kūryba ir pasakos,,
,Dangus griūva,,
Liuda Petkevičiūtė,Kriuksis daugnoris,2018,
Liuda Petkevičiūtė,Rainis Atbulainis,2020,
Pranas Mašiotas,Katinėlis pilkutis,1984,
,Vilkas ir ėriukas,1996,
John Irving,Pasaulis pagal Garpą,2008,
Joseph  Campbell,"Mitai, kuriais gyvename",2022,
,Zuikelis drąsuolis,,
,Trys paršiukai,,
,Kiškio lūpos,,
,Žvaigždynai ir zodiako ženklai. Kas yra kas,,
Sviderskienė,Žvaigždynai,,
,Lietuvių kalbos vadovėlis 9 kl. ,,
,Lietuvių kalbos vadovėlis 6 kl.,,
,Lietuvių kalbos vadovėlis 7 kl. 1 ir 2 dalis,,
,Literatūra 6 kl. 1 dalis,,
,Literatūra 7 kl. 1 dalis,,
,Literatūra 9 kl. 1 dalis,,
,Laimė ir meditacija,,
,Mokomės mokyti,,
,"Aš ten buvau ,,Viduramžių miestas“",,
,Viduriniai amžiai,,
V.Darkevičius,Vudurinių amžių argonautai,,
R.Neimantas,Gintaro kelias,,
,Istorijos vadovėlis 8 klasei ir pratybos,,
,Pasaulio ir Lietuvos istorija 8 kl.,,
,"Laikas, Istorijos vadovėlis 7 kl. ",,
,Senovės istorija 7 kl. ,,
,Istorijos vadovėlis 7 kl. II dalis,,
Jonathan Swift,Guliveris skraidančioje saloje,,5415014101
Ayano Imai,Česteris,2013,9786094411403
Sven Nordqvist,"O ką tu moki, Petsonai?",2021,9786094416613
Holly Webb,Pradingėlė katytė Miglė,2014,9786090111123
,Nevykėlio dienoraštis. Nr. 12,,
Jeff Kinney,Nevykėlio dienoraštis 11. Rizikingas sumanymas,2017,
Jeff Kinney,Nevykėlio dienoraštis 13. Sniego tvirtovės,2019,9786094830136
Rebeka Una,Pijus ir Nikolas,2016,9786094662065
