"Ogenskienė, Ina",Koncertas turėklui,2023,9786098161663,index: 497
"Palčinskaitė, Violeta",Stebuklinga Mocarto fleita,2019,9786094415661,index: 657
"Jakaitė-Bulbukienė, Kristina",Bobausis be ausų,2023,9786098161649,index: 691
"Jakaitė-Bulbukienė, Kristina",Bobausis be ausų,2023,9786098161649,index: 692
"Jakaitė-Bulbukienė, Kristina",Bobausis be ausų,2023,9786098161649,index: 691
"Jakaitė-Bulbukienė, Kristina",Bobausis be ausų,2023,9786098161649,index: 692
"Miežytė, Živilė",Vilniaus Vilnius,2018,9786098161274,index: 88
"Miežytė, Živilė",Vilniaus Vilnius,2018,9786098161274,index: 303
"Miežytė, Živilė",Vilniaus Vilnius,2018,9786098161274,index: 649
"Miežytė, Živilė",Vilniaus Vilnius,2018,9786098161274,index: 650
"Miežytė, Živilė",Vilniaus Vilnius,2018,9786098161274,index: 651
"Isokas, Gediminas (1931–2020)",Šešiakojai,1988,5790000142,index: 641
"Jankutė-Užubalienė, Nijolė (1929-2011)",Šamo ežero sekliai,1991,5790005195,index: 756
"Rutkauskienė, Marija",Patisonas Dublis ir cukinija Sprakselina iškeliauja,2018,9786098161298,index: 652
"Rutkauskienė, Marija",Patisonas Dublis ir cukinija Sprakselina iškeliauja,2018,9786098161298,index: 653
"Rutkauskienė, Marija",Patisonas Dublis ir cukinija Sprakselina iškeliauja,2018,9786098161298,index: 654
"Rutkauskienė, Marija",Patisonas Dublis ir cukinija Sprakselina iškeliauja,2018,9786098161298,index: 655
"Schmidt, Annie M.G. (1911-1995)",Viplala,1997,9986431328,index: 662
"Olsson, Sören",Berto dienoraštis,1998,5415012923,index: 723
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 634
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 635
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 636
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 637
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 638
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 639
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 634
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 635
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 636
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 637
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 638
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 639
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 634
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 635
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 636
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 637
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 638
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 639
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 634
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 635
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 636
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 637
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 638
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 639
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 634
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 635
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 636
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 637
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 638
"Ežerinytė, Ilona",Šunojaus diena,2016,9786098161175,index: 639
"Petkevičius, Vytautas (1930–2008)",Kodėlčius,2021,9786090111192,index: 686
"Petkevičius, Vytautas (1930–2008)",Kodėlčius,2021,9786090111192,index: 687
"Mašiotas, Pranas (1863–1940)","Juozukas, pieštukas ir trintukas",2014,9786099560601,index: 668
"Mašiotas, Pranas (1863–1940)","Juozukas, pieštukas ir trintukas",2014,9786099560601,index: 669
"Zarambaitė, Ignė",Emilio laiškas,2015,9786098161038,index: 665
"Zarambaitė, Ignė",Emilio laiškas,2015,9786098161038,index: 666
"Zarambaitė, Ignė",Emilio laiškas,2015,9786098161038,index: 670
"Zarambaitė, Ignė",Emilio laiškas,2015,9786098161038,index: 665
"Zarambaitė, Ignė",Emilio laiškas,2015,9786098161038,index: 666
"Zarambaitė, Ignė",Emilio laiškas,2015,9786098161038,index: 670
"Zarambaitė, Ignė",Emilio laiškas,2015,9786098161038,index: 665
"Zarambaitė, Ignė",Emilio laiškas,2015,9786098161038,index: 666
"Zarambaitė, Ignė",Emilio laiškas,2015,9786098161038,index: 670
"Zarambaitė, Ignė",Emilio laiškas,2015,9786098161038,index: 665
"Zarambaitė, Ignė",Emilio laiškas,2015,9786098161038,index: 666
"Zarambaitė, Ignė",Emilio laiškas,2015,9786098161038,index: 670
"Zarambaitė, Ignė",Emilio laiškas,2015,9786098161038,index: 665
"Zarambaitė, Ignė",Emilio laiškas,2015,9786098161038,index: 666
"Zarambaitė, Ignė",Emilio laiškas,2015,9786098161038,index: 670
"Mašiotas, Pranas (1863–1940)","Juozukas, pieštukas ir trintukas",2014,9786099560601,index: 668
"Mašiotas, Pranas (1863–1940)","Juozukas, pieštukas ir trintukas",2014,9786099560601,index: 669
"Launikonytė, Elena","Pelėnas, Varlėnas ir Bobo",2018,9786098161281,index: 678
"Launikonytė, Elena","Pelėnas, Varlėnas ir Bobo",2018,9786098161281,index: 679
"Launikonytė, Elena","Pelėnas, Varlėnas ir Bobo",2018,9786098161281,index: 678
"Launikonytė, Elena","Pelėnas, Varlėnas ir Bobo",2018,9786098161281,index: 679
"Rutkauskienė, Marija",Patisonas Dublis ir cukinija Sprakselina iškeliauja,2018,9786098161298,index: 652
